SMILES tc
CC[C@H]([C@H]([C@H](CC(C)(C)C)C)C)C 6.806e+02
CCC[C@H]([C@H](C(C)C)CC(C)C)C 6.674e+02
CCCC(C[C@H](C(C)C)C)CCC 6.651e+02
CCCCC(CC(C)C)(CC)CC 6.768e+02
CC[C@H](C[C@H]([C@H](CC)C)C(C)C)C 6.693e+02
CCC[C@](CC(CC)CC)(CC)C 6.651e+02
CCC[C@H]([C@H](C(CC)(C)C)CC)C 6.802e+02
CCC[C@H](C(C)C)CC(CC)(C)C 6.717e+02
CC(CCC(C(C)(C)C)(C)C)(C)C 6.666e+02
CC([C@@H](CC(C(C)C)C(C)C)C)C 6.743e+02
CC[C@H](C(CC(C)C)(C)C)C(C)C 6.836e+02
CCC(C(CC(C)(C)C)(C)C)CC 6.906e+02
CC[C@H]([C@](C(C)C)(CC(C)C)C)C 6.924e+02
CC[C@H](C(CC)CC)CC(C)(C)C 6.732e+02
CCC(CC(C(C)(C)C)(C)C)CC 6.793e+02
CC[C@H]([C@H](C(CC)(C)C)C(C)C)C 6.967e+02
CCC(C(CC)CC)C(CC)CC 6.697e+02
CCC[C@H](C(CC)(C)C)C(C)(C)C 6.994e+02
CC(C(C(C)C)(CC(C)(C)C)C)C 7.105e+02
CC[C@H](C(C(C)C)C(C)C)C(C)C 6.999e+02
CCC(C(C(C)(C)C)(C)C)(CC)C 7.253e+02
CC[C@H](C(CC)(CC)C)C(C)(C)C 7.062e+02
CCC([C@H](C(C)(C)C)C)(CC)CC 7.165e+02
CC(C(C(C)C)(C(C)C)C(C)C)C 7.419e+02
CC[C@H]([C@H]([C@H](CCCC(C)C)C)C)C 6.844e+02
CCC[C@H](C(C)C)CCC[C@H](CC)C 6.900e+02
C[C@@H](CC(C)(C)C)CC[C@@H](C(C)C)C 6.849e+02
C[C@H](C(C)C)CCCC(C(C)C)(C)C 6.922e+02
CC(CC[C@H](C(CC(C)C)(C)C)C)C 6.868e+02
CC(CCC[C@H](C(C)C)CC(C)C)C 6.780e+02
CCC([C@H]([C@H](CCC(C)C)C)C)(C)C 6.953e+02
CCC(CC[C@H](CC(C)C)C)(CC)C 6.814e+02
CCCC([C@H](CCC(C)C)CC)(C)C 6.832e+02
CCCC[C@H]([C@H](CC(C)C)CCC)C 6.838e+02
CCCC[C@H](CCC(C)(C)C)CCC 6.720e+02
CCCCCC(C(C(C)C)(C)C)(C)C 7.155e+02
CC[C@H](CC[C@]([C@H](CC)C)(CC)C)C 6.882e+02
CCCC[C@](C(C)C)(C[C@H](CC)C)C 6.886e+02
CCCCC[C@](C(CC)CC)(CC)C 6.983e+02
CCCC[C@H]([C@](C(C)C)(CCC)C)C 6.986e+02
CC(CCC(CC(C)(C)C)(C)C)(C)C 6.716e+02
CC[C@H]([C@H](CCC(C)(C)C)C)C(C)C 6.818e+02
CC[C@](CC(C)C)(CCC(C)(C)C)C 6.867e+02
CC(C[C@H](C(CC(C)(C)C)(C)C)C)C 7.005e+02
CC[C@H]([C@H](C(C)(C)C)C)CCC(C)C 6.900e+02
C[C@H](C(C)C)C[C@H](C(C(C)C)(C)C)C 7.086e+02
CC(C[C@H]([C@H](C(C(C)C)(C)C)C)C)C 7.044e+02
CC[C@H](CC(C(C)C)(C)C)CC(C)C 6.926e+02
CC[C@]([C@H](C(C)C)C)(CCC(C)C)C 6.969e+02
CC(CC[C@H](C(C)(C)C)CC(C)C)C 6.819e+02
CC[C@H](C(C)C)C[C@H](C(CC)(C)C)C 6.912e+02
CCC([C@H](CCC(C)C)C)(CC)CC 7.079e+02
CCC(C[C@H](CC(C)C)C)(CC)CC 6.959e+02
CC[C@H]([C@H](C[C@H](C(C)(C)C)CC)C)C 6.989e+02
CCCC(CC(C(C)(C)C)(C)C)(C)C 7.013e+02
CCC[C@H]([C@](CC(C)(C)C)(CC)C)C 6.881e+02
CCCCC(C(C(C)(C)C)(C)C)(C)C 7.239e+02
CCCC[C@](CC(C)(C)C)(CCC)C 6.939e+02
CC[C@H]([C@H](CC(CC)(CC)CC)C)C 7.064e+02
CC[C@H]([C@H](C([C@H](CC)C)(C)C)CC)C 7.068e+02
CCC(C[C@H](C(CC)CC)CC)CC 6.862e+02
CCCC([C@H](C(CC)CC)CC)(C)C 6.974e+02
CCCC(CC(CC)(C)C)(CC)CC 6.921e+02
CC(C(CC(C(C)(C)C)(C)C)(C)C)C 7.093e+02
CC([C@H](C([C@H](C(C)(C)C)C)(C)C)C)C 7.307e+02
CC([C@@H]([C@@H](C(C)C)C)CC(C)(C)C)C 6.875e+02
CC(C[C@H]([C@H](C(C)(C)C)C)C(C)C)C 7.058e+02
CC[C@](C(CC)(C)C)(CC(C)(C)C)C 7.134e+02
CC[C@H](C(CC)(CC)C)CC(C)(C)C 7.067e+02
CCC[C@](C(C)(C)C)(C(CC)CC)C 7.075e+02
CCC[C@H](C(CC)(CC)CC)C(C)C 7.167e+02
CC([C@H](C(C(C)C)(C)C)C(C)(C)C)C 7.376e+02
CC([C@H]([C@](C(C)(C)C)(C(C)C)C)C)C 7.490e+02
CCC(C(C(C)C)(C)C)(C(C)C)CC 7.599e+02
CC[C@H](CC(CC)(C)C)CCCC(C)C 6.992e+02
CC[C@H](C([C@H](CCCC(C)C)C)(C)C)C 7.109e+02
CC[C@H](C[C@H](C(CCC(C)C)(C)C)C)C 7.003e+02
CCC[C@H](CCC(CC(C)(C)C)(C)C)C 7.042e+02
CCCCC[C@H]([C@H](CC(C)(C)C)C)CC 6.873e+02
CCCCC[C@H](CC(C(C)(C)C)(C)C)C 7.138e+02
CCC[C@H](C(C[C@H]([C@H](CC)C)C)(C)C)C 7.092e+02
CC([C@H](CC(CCC(C)(C)C)(C)C)C)C 6.839e+02
CC[C@H]([C@H](C(C)C)C)C[C@H](CC(C)C)C 7.045e+02
CC[C@](C(C)C)(C[C@H](CCC(C)C)C)C 7.191e+02
CC[C@H]([C@H]([C@H]([C@H](CC(C)C)C)CC)C)C 7.074e+02
CC[C@H]([C@@H](CC)C)CC(CC(C)C)(C)C 7.012e+02
CC[C@H]([C@H](CCC(C(C)(C)C)(C)C)C)C 7.071e+02
CC[C@H](CC([C@H]([C@H](C(C)C)C)C)(C)C)C 7.241e+02
CC[C@H](CC[C@H](C(C(C)(C)C)(C)C)C)C 7.249e+02
CCCC(C([C@H](CC(C)C)C)(C)C)(C)C 7.216e+02
CCC[C@H](C[C@H]([C@](C(C)C)(CC)C)C)C 7.167e+02
CCCC[C@H](C(CC(C)C)(C)C)CCC 6.996e+02
CCC(C(CCC(CC)(C)C)(C)C)CC 6.990e+02
CCC(CCCC(CC)(CC)CC)CC 7.073e+02
CC[C@H](C[C@H](C([C@H](CC)C)(C)C)CC)C 7.166e+02
CCC[C@H](C(C[C@H](CC)C)(CC)CC)C 7.133e+02
CCCC[C@H](C(C(CC)(C)C)(C)C)CC 7.351e+02
CCC[C@H]([C@](C(CCC)(C)C)(CC)C)C 7.242e+02
CC[C@](C(C)(C)C)(CCCC(C)(C)C)C 7.144e+02
C[C@H](C(CCC(C)(C)C)(C)C)C(C)(C)C 7.096e+02
C[C@H](C(C)(C)C)CC(CC(C)(C)C)(C)C 7.154e+02
C[C@@H]([C@H](C(C)(C)C)C)CC(C(C)C)(C)C 7.270e+02
CC([C@H]([C@H](CC(C(C)(C)C)(C)C)C)C)C 7.246e+02
CCC[C@H]([C@H](C(C)C)C)CCC(C)(C)C 6.824e+02
CC(C(C(C)C)CC[C@H](C(C)(C)C)C)C 7.114e+02
CC(CC(C([C@H](C(C)C)C)(C)C)(C)C)C 7.293e+02
CC(CC([C@H](C(C(C)C)(C)C)C)(C)C)C 7.404e+02
CC(C[C@](C(C)C)(C[C@H](C(C)C)C)C)C 7.055e+02
CCC[C@H](C[C@H](C(C)C)CC)CC(C)C 6.892e+02
CC(CC[C@H](C(C(C)C)(C)C)C(C)C)C 7.162e+02
CCC(C(C(CC(C)C)(C)C)(C)C)(C)C 7.524e+02
CCC(C([C@H](CC(C)(C)C)C)(C)C)(C)C 7.280e+02
CC[C@H]([C@H]([C@H](C(CC)(C)C)C)C)C(C)C 7.174e+02
CCC[C@H](C(CC)(C)C)CCC(C)(C)C 6.896e+02
CC[C@H](C(C[C@](C(C)C)(CC)C)(C)C)C 7.285e+02
CCC[C@]([C@H](CC)C)(C[C@H](C(C)C)C)C 6.994e+02
CCC(C[C@H](C(C(C)C)C(C)C)C)CC 7.008e+02
CCCC(C[C@H](C(C)C)CC)(CC)CC 7.125e+02
CCC[C@H](C([C@H](C(C)C)C)(CC)CC)C 7.371e+02
CCC(CCC(CC)(CC)CC)(CC)C 7.110e+02
CC[C@H]([C@]([C@H](C(CC)(C)C)C)(CC)C)C 7.536e+02
CCC([C@H](C(C(CC)(C)C)(C)C)C)CC 7.341e+02
CCC(C[C@H](C(CC)(CC)CC)C)CC 7.140e+02
CCCC([C@]([C@H](CC)C)(C(C)C)C)(C)C 7.342e+02
CCC[C@H]([C@]([C@H](CC)C)(C(C)C)CC)C 7.365e+02
CCC[C@H]([C@H](C(CC)(CC)C)CC)CC 7.102e+02
CCCC(CC(CC)(CC)CC)CCC 7.105e+02
CCC[C@H]([C@](C(C)C)(CCC)CC)CC 7.061e+02
CCCC[C@](C(C)(C)C)(C(C)C)CCC 7.254e+02
CC(CC(C(C(C)(C)C)(C)C)(C)C)(C)C 7.551e+02
CC([C@H](C(C(C(C)(C)C)(C)C)(C)C)C)C 7.664e+02
CC[C@](C(C)C)(CC(C)(C)C)CC(C)C 7.249e+02
CC([C@H]([C@H](C(C(C)C)(C)C)C(C)C)C)C 7.545e+02
CC(C[C@](C(C(C)C)(C)C)(C(C)C)C)C 7.486e+02
CCC(C(CC)(C)C)([C@H](C(C)C)C)CC 7.535e+02
CC[C@H](C(C(C)(C)C)(C)C)C(CC)(C)C 7.686e+02
CCC(C[C@](C(C)(C)C)(C(C)C)C)(C)C 7.343e+02
CC[C@H]([C@](C(C(C)(C)C)(C)C)(CC)C)C 7.711e+02
CCC([C@]([C@H](C(C)C)CC)(CC)C)CC 7.339e+02
CCC[C@H](C(C(C)(C)C)(C)C)[C@H](CC)C 7.340e+02
CCC([C@H]([C@H](C(C)(C)C)C(C)C)C)CC 7.208e+02
CCC[C@](C(C(C)C)(C)C)(C(C)(C)C)C 7.675e+02
CCCC(C(C)C)(C(C)C)CC(C)(C)C 7.377e+02
CC[C@H]([C@](C(CC)(C)C)(C(C)C)CC)C 7.646e+02
CCC[C@](C(CC)(C)C)(C(C)(C)C)CC 7.649e+02
CC(C([C@H](C(C)(C)C)C(C)C)C(C)C)C 7.456e+02
CC[C@](C(CC)(CC)CC)(C(C)(C)C)C 7.756e+02
